Month,word search: (United States),,,Month,word search: (United States)
2004-01,75,,,,
2004-02,89,,,,
2004-03,98,,,,
2004-04,68,,,,
2004-05,83,,,,
2004-06,52,,,,
2004-07,41,,,,
2004-08,50,,,,
2004-09,65,,,,
2004-10,86,,,,
2004-11,82,,,,
2004-12,83,,,,
2005-01,71,,,,
2005-02,93,,,,
2005-03,80,,,,
2005-04,81,,,,
2005-05,91,,,,
2005-06,52,,,,
2005-07,41,,,,
2005-08,49,,,,
2005-09,54,,,,
2005-10,89,,,,
2005-11,90,,,,
2005-12,88,,,,
2006-01,75,,,,
2006-02,79,,,,
2006-03,84,,,,
2006-04,79,,,,
2006-05,100,,,,
2006-06,54,,,,
2006-07,33,,,,
2006-08,43,,,,
2006-09,68,,,,
2006-10,81,,,,
2006-11,83,,,,
2006-12,92,,,,
2007-01,73,,,,
2007-02,85,,,,
2007-03,83,,,,
2007-04,74,,,,
2007-05,84,,,,
2007-06,50,,,,
2007-07,41,,,,
2007-08,43,,,,
2007-09,74,,,,
2007-10,95,,,,
2007-11,93,,,,
2007-12,88,,,,
2008-01,72,,,,
2008-02,83,,,,
2008-03,87,,,,
2008-04,82,,,,
2008-05,86,,,,
2008-06,59,,,,
2008-07,33,,,,
2008-08,42,,,,
2008-09,73,,,,
2008-10,93,,,,
2008-11,90,,,,
2008-12,95,,,,
2009-01,75,,,,
2009-02,89,,,,
2009-03,84,,,,
2009-04,89,,,,
2009-05,96,,,,
2009-06,60,,,,
2009-07,40,,,,
2009-08,43,,,,
2009-09,67,,,,
2009-10,81,,,,
2009-11,86,,,,
2009-12,90,,,,
2010-01,70,,,,
2010-02,81,,,,
2010-03,86,,,,
2010-04,81,,,,
2010-05,85,,,,
2010-06,50,,,,
2010-07,32,,,,
2010-08,34,,,,
2010-09,54,,,,
2010-10,65,,,,
2010-11,66,,,,
2010-12,66,,,,
2011-01,65,,,,
2011-02,66,,,,
2011-03,71,,,,
2011-04,68,,,,
2011-05,70,,,,
2011-06,50,,,,
2011-07,35,,,,
2011-08,41,,,,
2011-09,57,,,,
2011-10,60,,,,
2011-11,64,,,,
2011-12,62,,,,
2012-01,60,,,,
2012-02,68,,,,
2012-03,63,,,,
2012-04,58,,,,
2012-05,63,,,,
2012-06,37,,,,
2012-07,28,,,,
2012-08,34,,,,
2012-09,46,,,,
2012-10,56,,,,
2012-11,56,,,,
2012-12,55,,,,
2013-01,48,,,,
2013-02,56,,,,
2013-03,53,,,,
2013-04,52,,,,
2013-05,55,,,,
2013-06,36,,,,
2013-07,27,,,,
2013-08,32,,,,
2013-09,42,,,,
2013-10,56,,,,
2013-11,51,,,,
2013-12,49,,,,
2014-01,46,,,,
2014-02,50,,,,
2014-03,47,,,,
2014-04,55,,,,
2014-05,54,,,,
2014-06,33,,,,
2014-07,26,,,,
2014-08,32,,,,
2014-09,47,,,,
2014-10,56,,,,
2014-11,53,,,,
2014-12,52,,,,
2015-01,47,,,,
2015-02,52,,,,
2015-03,54,,,,
2015-04,53,,,,
2015-05,57,,,,
2015-06,34,,,,
2015-07,27,,,,
2015-08,32,,,,
2015-09,48,,,,
2015-10,56,,,,
2015-11,54,,,,
2015-12,57,,,,
2016-01,37,,,,
2016-02,46,,,,
2016-03,45,,,,
2016-04,47,,,,
2016-05,49,,,,
2016-06,26,,,,
2016-07,20,,,,
2016-08,28,,,,
2016-09,47,,,,
2016-10,49,,,,
2016-11,52,,,,
2016-12,48,,,,
2017-01,46,,,,
2017-02,54,,,,
2017-03,55,,,,
2017-04,51,,,,
2017-05,61,,,,
2017-06,34,,,,
2017-07,26,,,,
2017-08,36,,,,
2017-09,45,,,,
2017-10,54,,,,
2017-11,57,,,,
2017-12,54,,,,
2018-01,56,,,,
2018-02,63,,,,
2018-03,65,,,,
2018-04,72,,,,
2018-05,71,,,,
2018-06,47,,,,
2018-07,38,,,,
2018-08,44,,,,
2018-09,56,,,,
2018-10,59,,,,
2018-11,62,,,,
2018-12,64,,,,
2019-01,63,,,,
2019-02,61,,,,
2019-03,62,,,,
2019-04,63,,,,
2019-05,63,,,,
2019-06,39,,,,
2019-07,34,,,,
2019-08,43,,,,
2019-09,51,,,,
2019-10,59,,,,
2019-11,57,,,,
2019-12,57,,,,
2020-01,54,,,,
2020-02,58,,,,
2020-03,49,,,,
2020-04,46,,,,
2020-05,39,,,,
2020-06,31,,,,
2020-07,31,,,,
2020-08,35,,,,
2020-09,43,,,,
2020-10,39,,,,
2020-11,36,,,,
2020-12,35,,,,
2021-01,33,,,,
2021-02,39,,,,
2021-03,36,,,,
2021-04,39,,,,
2021-05,38,,,,
2021-06,32,,,,
2021-07,28,,,,
2021-08,31,,,,
